mag,rho,eff_rd
18.6,1995262.315,95.0
18.8,1995262.315,96.25
19.0,1995262.315,95.0
19.2,1995262.315,88.75
19.4,1995262.315,78.75
19.6,1995262.315,57.5
19.8,1995262.315,30.0
20.0,1995262.315,12.5
20.2,1995262.315,16.25
20.4,1995262.315,11.25
20.6,1995262.315,10.0
20.8,1995262.315,5.0
21.0,1995262.315,3.75
21.2,1995262.315,5.0
21.4,1995262.315,5.0
21.6,1995262.315,7.5
21.8,1995262.315,0.0
22.0,1995262.315,1.25
22.2,1995262.315,0.0
22.4,1995262.315,1.25
15.4,11220184.543,96.25
15.6,11220184.543,97.5
15.8,11220184.543,91.25
16.0,11220184.543,100.0
16.2,11220184.543,100.0
16.4,11220184.543,98.75
16.6,11220184.543,97.5
16.8,11220184.543,96.25
17.0,11220184.543,98.75
17.2,11220184.543,98.75
17.4,11220184.543,98.75
17.6,11220184.543,95.0
17.8,11220184.543,100.0
18.0,11220184.543,96.25
18.2,11220184.543,88.75
18.4,11220184.543,93.75
18.6,11220184.543,95.0
18.8,11220184.543,91.25
19.0,11220184.543,87.5
19.2,11220184.543,76.25
19.4,11220184.543,56.25
19.6,11220184.543,36.25
19.8,11220184.543,20.0
20.0,11220184.543,18.75
20.2,11220184.543,7.5
20.4,11220184.543,8.75
20.6,11220184.543,7.5
20.8,11220184.543,1.25
21.0,11220184.543,3.75
21.2,11220184.543,5.0
21.4,11220184.543,1.25
21.6,11220184.543,3.75
21.8,11220184.543,2.5
22.0,11220184.543,2.5
22.2,11220184.543,3.75
22.4,11220184.543,3.75
15.4,79432823.472,96.25
15.6,79432823.472,97.5
15.8,79432823.472,97.5
16.0,79432823.472,98.75
16.2,79432823.472,100.0
16.4,79432823.472,97.5
16.6,79432823.472,100.0
16.8,79432823.472,97.5
17.0,79432823.472,97.5
17.2,79432823.472,95.0
17.4,79432823.472,97.5
17.6,79432823.472,97.5
17.8,79432823.472,96.25
18.0,79432823.472,96.25
18.2,79432823.472,95.0
18.4,79432823.472,92.5
18.6,79432823.472,93.75
18.8,79432823.472,91.25
19.0,79432823.472,72.5
19.2,79432823.472,58.75
19.4,79432823.472,38.75
19.6,79432823.472,31.25
19.8,79432823.472,16.25
20.0,79432823.472,10.0
20.2,79432823.472,5.0
20.4,79432823.472,6.25
20.6,79432823.472,6.25
20.8,79432823.472,3.75
21.0,79432823.472,2.5
21.2,79432823.472,7.5
21.4,79432823.472,5.0
21.6,79432823.472,3.75
21.8,79432823.472,1.25
22.0,79432823.472,5.0
22.2,79432823.472,7.5
22.4,79432823.472,0.0
15.4,794328234.724,96.25
15.6,794328234.724,95.0
15.8,794328234.724,100.0
16.0,794328234.724,98.75
16.2,794328234.724,98.75
16.4,794328234.724,98.75
16.6,794328234.724,98.75
16.8,794328234.724,95.0
17.0,794328234.724,100.0
