mag,rho,eff_rd
20.0,10000000000.0,2.5
20.2,10000000000.0,2.5
20.4,10000000000.0,0.0
20.6,10000000000.0,7.5
20.8,10000000000.0,0.0
21.0,10000000000.0,7.5
21.2,10000000000.0,2.5
21.4,10000000000.0,2.5
21.6,10000000000.0,0.0
21.8,10000000000.0,0.0
22.0,10000000000.0,0.0
22.2,10000000000.0,0.0
22.4,10000000000.0,0.0
16.4,158489319246.111,100.0
16.6,158489319246.111,95.0
16.8,158489319246.111,95.0
17.0,158489319246.111,95.0
17.2,158489319246.111,97.5
17.4,158489319246.111,92.5
17.6,158489319246.111,97.5
17.8,158489319246.111,90.0
18.0,158489319246.111,85.0
18.2,158489319246.111,75.0
18.4,158489319246.111,62.5
18.6,158489319246.111,52.5
18.8,158489319246.111,40.0
19.0,158489319246.111,22.5
19.2,158489319246.111,10.0
19.4,158489319246.111,7.5
19.6,158489319246.111,7.5
19.8,158489319246.111,5.0
20.0,158489319246.111,5.0
20.2,158489319246.111,5.0
20.4,158489319246.111,2.5
20.6,158489319246.111,5.0
20.8,158489319246.111,2.5
21.0,158489319246.111,0.0
21.2,158489319246.111,2.5
21.4,158489319246.111,10.0
21.6,158489319246.111,0.0
21.8,158489319246.111,0.0
22.0,158489319246.111,0.0
22.2,158489319246.111,0.0
22.4,158489319246.111,0.0
16.4,3548133892335.76,85.0
16.6,3548133892335.76,100.0
16.8,3548133892335.76,95.0
17.0,3548133892335.76,85.0
17.2,3548133892335.76,100.0
17.4,3548133892335.76,92.5
17.6,3548133892335.76,92.5
17.8,3548133892335.76,87.5
18.0,3548133892335.76,80.0
18.2,3548133892335.76,55.0
18.4,3548133892335.76,47.5
18.6,3548133892335.76,30.0
18.8,3548133892335.76,30.0
19.0,3548133892335.76,15.0
19.2,3548133892335.76,7.5
19.4,3548133892335.76,10.0
19.6,3548133892335.76,10.0
19.8,3548133892335.76,2.5
20.0,3548133892335.76,2.5
20.2,3548133892335.76,0.0
20.4,3548133892335.76,5.0
20.6,3548133892335.76,2.5
20.8,3548133892335.76,0.0
21.0,3548133892335.76,5.0
21.2,3548133892335.76,5.0
21.4,3548133892335.76,0.0
21.6,3548133892335.76,0.0
21.8,3548133892335.76,0.0
22.0,3548133892335.76,0.0
22.2,3548133892335.76,0.0
22.4,3548133892335.76,0.0
16.4,125892541179416.62,95.0
16.6,125892541179416.62,100.0
